timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1545420802552,4841,Open Login Page,200,OK,Thread Group 1-602,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4841,0,62
1545420802559,4834,Open Login Page,200,OK,Thread Group 1-619,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4834,0,55
1545420801847,5548,Open Login Page,200,OK,Thread Group 1-134,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5548,0,518
1545420802555,4840,Open Login Page,200,OK,Thread Group 1-457,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4840,0,59
1545420802560,4835,Open Login Page,200,OK,Thread Group 1-548,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4835,0,86
1545420802563,4883,Open Login Page,200,OK,Thread Group 1-561,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4883,0,83
1545420802564,4886,Open Login Page,200,OK,Thread Group 1-622,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4886,0,81
1545420802564,4894,Open Login Page,200,OK,Thread Group 1-597,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4894,0,81
1545420802566,4901,Open Login Page,200,OK,Thread Group 1-565,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4901,0,81
1545420802565,4902,Open Login Page,200,OK,Thread Group 1-626,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4902,0,80
1545420802560,4907,Open Login Page,200,OK,Thread Group 1-560,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4907,0,85
1545420802565,4902,Open Login Page,200,OK,Thread Group 1-485,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4902,0,82
1545420802563,4906,Open Login Page,200,OK,Thread Group 1-623,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4906,0,86
1545420802562,4907,Open Login Page,200,OK,Thread Group 1-596,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4907,0,84
1545420802565,4905,Open Login Page,200,OK,Thread Group 1-530,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4905,0,82
1545420802565,4953,Open Login Page,200,OK,Thread Group 1-514,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4953,0,82
1545420802566,4962,Open Login Page,200,OK,Thread Group 1-577,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4961,0,100
1545420802560,4970,Open Login Page,200,OK,Thread Group 1-456,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4970,0,97
1545420802566,4967,Open Login Page,200,OK,Thread Group 1-627,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4967,0,95
1545420802563,4972,Open Login Page,200,OK,Thread Group 1-531,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4972,0,102
1545420802569,4967,Open Login Page,200,OK,Thread Group 1-522,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4967,0,97
1545420802568,4971,Open Login Page,200,OK,Thread Group 1-481,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4971,0,101
1545420802570,4970,Open Login Page,200,OK,Thread Group 1-527,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4970,0,96
1545420802568,4973,Open Login Page,200,OK,Thread Group 1-576,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4973,0,101
